teryt;token;district;entire_token
126101;Kraków-Krowodrza: Józefa Chełmońskiego-Deptak
106101;dr. Henryka Trenknera
106101;Tenisowa
106101;Kartuska
106101;Kanonierska
106101;Kapitańska
106101;Kawaleryjska
106101;Giełdowa
106101;Klasyczna
106101;Koryncka
106101;Racławicka
306401;pl. Adama Mickiewicza
226101;Rondo Graniczne Wolne Miasto Gdańsk-Rzeczpospolita Polska 1920 - 1939
226101;rondo im. ks. ppłk. Józefa Wryczy
066301;pl. Jana Kochanowskiego
066301;ul. Wandy Papiewskiej
046101;Miasto Bydgoszcz – część
186301;plac Jana Pawła II
286201;place: Jana Pawła II
086201;Plac ks. biskupa Wilhelma Pluty
166101;płk. poż. Zdzisława Filingera
266101;SKWER: Stefana Żeromskiego
266101;SKWER: Mikołaja Kopernika
266101;Bednarska
266101;Kuśnierska
266101;Giętówka
266101;PLAC: Marszałka Józefa Piłsudskiego.
266101;Świętego Jana Pawła II
266101;RONDO: Wielkiej Orkiestry Świątecznej Pomocy. ULICA:
266101;SKWER: Adwokata Świętosława Krawczyńskiego
266101;RONDO: Gustawa Herlinga-Grudzińskiego
266101;SKWER: Ireny Sendlerowej
226201;Kolonia Rybacka
226201;Cytrynowa
226201;Krykulec
206301;miasto Suwałki
206301;Augusta II Mocnego
066201;Aleksandra Skorupy
026101;Jelenia Góra ulice:
246301;Skwer św. Matki Teresy z Kalkuty
246301;Rondo im. św. Jana Pawła II
246301;Skwer Friedricha Weisslera
246301;Planty imienia Jerzego Wyrobka
246301;Rondo Niebieskich Mistrzów
246301;Rondo Antoniego Sorichty
247501;Dziewanny
247501;Leśny Zakątek.
247701;rondo ks. Leona Szkatuły
140802;Pejzażowa
140803;Rajska
141505;Skwer Artystów Kurpiowskich
141505;Skwer Rotmistrza Witolda Pileckiego
141505;Skwer im. Księdza Prałata Konstantego Rejchla
141505;Skwer Matki
141505;Skwer Zespołu Folklorystycznego Kurpianka Kadzidło
141508;Wolkowe II
142106;Jaworowa II
142306;Por. Józefa Woźniaka ps. "Burza"
142503;Przy Malenie
143205;Dziekanów Polski
143402;Dworska
143409;Łąki
143705;część sołectwa Krzeczanowo
200106;Perkuć.
200209;Bp Leona Ludwika Jaworowskiego
200706;Wilamowo II
201401;domy prywatne o numerach nieparzystych od 7 do 67 oraz bloki o numerach 29
280304;osada leśna Nowy Dwór
280407;Kolonia Zdroje
280407;Kolonia Robotnicza
280409;bez ul. Szpitalna 2
280501;Park Mikołaja Kopernika
280504;Sołectwo Prostki Prostki
281004;Sołectwo Piecki Piecki
281303;Sołectwo Kowale Oleckie Kowale Oleckie
281304;Siejnik
281803;Osiedle 1
281803;Osiedle 2
281803;Osiedle 5
281803;ulica: Miodowa
281803;Czesława Miłosza
281803;Wisławy Szymborskiej
281803;Mikołaja Kopernika
040102;Kępa Słońska
040301;sołectwo Łochowo-część
040301;sołectwo Białe Błota-część
040302;sołectwa: Otowice i Dąbrowa Chełmińska-część
040302;obejmujące: miejscowość Dąbrowa Chełmińska
040302;sołectwo Dąbrowa Chełmińska-część: miejscowość Dąbrowa Chełmińska
040302;Linie
040503;Skępsk
040701;Mała Andrzeja
040701;Część osiedla Stare Miasto
040704;Sławęcinek-część
041206;Zaolzie
041402;sołectwo Dolna Grupa-część
041402;miejscowość Grupa-część
041402;sołectwa: Grupa miejscowość Grupa-część
041501;ks. Jana Achtabowskiego
041501;Ks. Jana Twardowskiego
041601;Brzozie-część
041604;sołectwa: Bysław-część
041804;osada leśna Lipiny
041813;część miejscowości Józefowo
100901;Osiedle Awaryjne
101610;Niewiadów
101901;ks. płk. Józefa Balcerczyka
102001;23/25BL17
102003;Plac Tadeusza Teodorczyka
260604;Targowa
060505;Laski;8
060506;ul. Jana Pawła II
060605;Siennica Nadolna ul. Osiedle Cukrowni 57A
060801;rondo im. 27 Wołyńskiej Dywizji Piechoty AK
060909;Antoninówka
220203;Kamionka
220204;Czersk
220204;osada leśna Czersk
220603;część miejscowości Abisynia
220606;Szady Kierz
220901;Skwer im. Zakonu Joannitów
220901;Ignacego Jana Paderewskiego
221104;Skwer Antoniego Abrahama
221504;Łętówko
221509;Dębowa
221605;osada Sztumska Wieś
300301;place: Plac im. Prymasa Mikołaja Trąby
300602;Karpacka
301404;Nad Osiecznicą
301901;Piła-Stobno.
302005;II
302005;III
302006;Śmieja Młyn
302111;Elizy Orzeszkowej
180405;osada Wietlin
180601;sołectwo Dąbrówka obejmujące wieś Cmolas
